ID number,Grade/20.00,Grade/20.00_HW02,Grade/20.00_HW03,Grade/20.00_HW04,Grade/20.00_HW05,Grade/20.00_HW06,Grade/20.00_HW07,Grade/20.00_HW08,Grade/20.00_HW09,Grade/20.00_HW10,Grade/20.00_HW11
28600291.0,18.18,20.0,16.77,19.08,20.0,20.0,20.0,19.38,15.0,18.1,8.33
3803479.0,6.36,8.11,9.68,7.28,12.48,0.71,,10.0,11.39,8.1,
28610730.0,19.09,20.0,13.55,17.33,20.0,20.0,20.0,20.0,16.67,18.57,17.33
3700648.0,11.36,7.67,,,,16.43,20.0,13.75,17.5,,1.0
28603394.0,16.82,17.0,18.71,13.03,16.97,11.07,,11.88,11.67,12.38,8.0
28600844.0,1.82,20.0,10.97,19.08,19.61,12.86,17.33,15.0,8.33,16.67,6.0
3703308.0,4.55,8.44,7.74,14.26,13.33,18.93,20.0,6.25,17.5,13.81,6.0
28610497.0,14.55,20.0,15.48,18.46,16.12,13.57,17.33,18.13,16.67,17.14,14.0
28600211.0,18.18,20.0,17.42,20.0,20.0,16.07,20.0,15.0,16.67,18.1,8.67
21115204.0,15.45,12.67,16.13,15.59,14.91,13.57,20.0,10.0,13.33,13.33,10.0
28002307.0,13.64,15.56,19.35,18.62,20.0,19.64,20.0,20.0,14.17,16.67,8.0
3700560.0,12.73,13.0,14.19,16.31,19.39,15.36,19.33,14.38,15.0,11.43,3.67
3677063.0,15.45,20.0,20.0,19.38,17.84,17.86,20.0,16.25,10.56,5.71,1.67
21112734.0,17.27,20.0,13.55,16.0,18.18,14.29,20.0,13.75,19.17,18.1,11.0
28600665.0,17.73,20.0,15.48,19.69,16.97,19.29,20.0,20.0,19.17,17.62,14.0
28607480.0,15.45,20.0,16.13,,19.39,2.14,,15.0,15.0,17.62,11.0
28507548.0,0.91,9.56,10.32,13.85,12.42,18.93,20.0,12.5,14.72,11.9,8.67
3803162.0,16.36,20.0,20.0,19.38,16.73,20.0,20.0,19.38,16.67,16.19,15.67
28602627.0,15.45,14.0,10.97,10.36,16.23,16.79,20.0,10.63,11.67,13.81,17.0
21114737.0,14.55,16.0,12.26,17.03,20.0,15.71,19.33,16.25,16.67,10.48,2.67
3804195.0,11.82,15.0,14.19,12.62,19.61,14.29,20.0,15.63,10.0,15.24,17.33
3802503.0,6.36,17.78,14.84,,,18.57,,10.63,10.0,6.19,8.0
28720090.0,13.64,19.0,12.26,19.69,20.0,18.57,19.33,19.38,17.5,18.1,17.67
3407463.0,9.55,12.0,10.97,11.9,14.55,15.36,16.67,13.13,15.0,14.29,11.0
3677161.0,7.27,20.0,16.13,13.85,16.12,13.21,15.33,15.0,17.5,7.14,2.33
28603418.0,18.18,20.0,17.42,19.69,20.0,16.07,20.0,15.0,16.67,18.1,8.0
28607538.0,15.45,16.0,12.26,4.15,11.88,19.29,19.33,16.25,16.67,9.52,13.0
3810013.0,15.45,15.0,17.42,15.38,18.79,18.21,20.0,13.75,10.28,18.1,15.33
28610199.0,14.55,16.0,18.06,19.08,20.0,15.0,20.0,15.0,15.0,18.57,14.67
3407716.0,16.36,20.0,19.35,14.87,20.0,16.43,,15.0,5.28,,1.67
28604190.0,15.45,20.0,13.55,19.38,20.0,16.07,20.0,16.25,12.5,14.76,8.33
3674474.0,7.27,18.0,14.84,10.0,14.35,18.57,20.0,19.38,15.0,14.76,3.0
21113747.0,17.27,20.0,14.84,19.69,18.79,19.64,16.67,19.38,15.0,18.1,13.67
3800028.0,1.82,11.56,3.87,10.05,17.31,13.21,12.67,12.5,8.06,0.0,1.67
28607117.0,18.18,20.0,16.13,18.26,20.0,20.0,20.0,20.0,15.0,18.1,8.33
3800075.0,0.91,15.0,11.61,5.59,,8.57,,1.88,3.33,,
28619891.0,2.73,9.0,14.84,,15.15,20.0,18.67,14.38,16.67,17.14,15.0
3673536.0,11.82,,,,,,,,,,
3506467.0,8.18,8.11,,,,,,,,,
28600653.0,18.18,17.0,16.13,15.49,16.36,17.86,20.0,13.13,12.5,13.81,17.0
28610514.0,10.45,20.0,12.9,8.62,15.15,19.29,14.0,17.5,15.56,13.33,6.67
28609831.0,18.18,20.0,16.13,19.69,20.0,15.36,20.0,17.5,19.17,18.57,8.67
3702385.0,16.36,20.0,20.0,19.69,,19.29,14.67,,15.0,17.62,
28600759.0,18.18,20.0,17.42,19.69,20.0,16.07,20.0,20.0,15.0,18.57,8.67
28607831.0,15.45,17.78,5.16,16.97,15.28,13.57,20.0,19.38,,,
28620112.0,15.91,20.0,17.42,18.77,20.0,18.57,17.33,13.75,14.44,18.57,14.33
28602386.0,10.91,20.0,16.77,19.49,19.0,15.0,20.0,15.63,15.0,11.9,5.67
3700630.0,15.0,20.0,20.0,15.13,18.44,16.07,20.0,11.88,12.5,12.86,8.33
28600769.0,6.36,14.89,14.19,16.92,14.37,15.0,,,14.44,14.76,10.0
28606830.0,15.45,20.0,19.35,19.38,20.0,18.57,3.33,15.0,15.0,13.33,8.0
28606830.0,15.45,20.0,19.35,19.38,20.0,18.57,20.0,15.0,15.0,13.33,8.0
28600492.0,13.64,20.0,15.48,14.97,18.79,17.86,,8.75,,18.57,5.0
28605022.0,7.27,18.0,17.42,18.46,19.61,18.93,20.0,13.75,19.17,13.81,5.67
3801873.0,19.09,20.0,13.55,9.64,19.39,19.29,18.67,18.75,16.67,17.62,17.0
28711440.0,15.45,16.0,20.0,19.38,20.0,16.07,20.0,19.38,16.67,16.67,4.33
3702996.0,4.55,20.0,18.71,18.46,20.0,20.0,20.0,20.0,16.67,15.71,8.33
28600464.0,11.82,18.0,13.55,18.31,18.18,19.64,20.0,19.38,14.72,18.1,16.33
28506638.0,15.45,20.0,16.13,19.08,18.18,15.36,19.33,13.13,13.89,17.14,14.67
3800477.0,12.73,19.0,10.32,15.38,16.97,13.21,20.0,13.75,15.0,15.24,13.33
28604304.0,16.82,20.0,12.58,20.0,18.18,16.43,20.0,13.13,13.33,13.81,13.33
28608396.0,16.82,20.0,12.9,19.69,18.18,16.07,20.0,18.75,12.5,13.33,13.67
3708782.0,5.45,20.0,15.48,18.77,20.0,16.43,20.0,15.0,15.0,13.81,13.33
28610448.0,15.45,16.0,9.68,17.44,20.0,15.36,20.0,16.25,12.5,15.24,1.0
28610117.0,5.0,20.0,12.26,15.38,20.0,17.5,18.67,15.0,10.0,12.86,11.67
28601953.0,12.27,20.0,11.94,9.74,16.62,16.43,20.0,17.5,13.33,10.0,12.67
28600470.0,15.45,20.0,17.42,16.1,20.0,20.0,20.0,19.38,16.67,17.14,14.67
28607314.0,17.27,20.0,16.77,17.44,18.18,20.0,20.0,16.88,16.67,11.43,6.0
3800583.0,6.36,3.89,14.84,,,,,,,,
3702809.0,9.55,20.0,15.48,15.49,15.15,12.14,17.33,13.13,10.0,10.0,5.67
3701883.0,16.36,20.0,16.13,19.08,20.0,17.14,20.0,10.63,9.17,14.29,6.0
21116436.0,17.27,20.0,19.35,17.13,20.0,20.0,20.0,15.0,16.67,16.67,5.67
28601301.0,7.27,19.0,12.26,6.87,20.0,13.93,12.0,14.38,13.33,14.76,3.67
28605864.0,11.82,20.0,12.26,12.0,18.18,14.29,20.0,18.75,13.33,13.81,12.33
3700453.0,15.91,20.0,11.29,16.0,18.18,18.21,9.33,9.38,14.72,13.33,4.33
3808875.0,10.0,20.0,10.97,20.0,20.0,15.0,20.0,15.0,13.33,10.95,4.67
21114731.0,11.82,20.0,15.48,19.08,16.73,13.21,20.0,16.88,17.5,16.67,8.0
28600559.0,18.18,20.0,16.13,18.77,15.52,14.29,11.33,15.0,7.5,11.9,
3801610.0,16.36,20.0,16.77,19.69,15.52,16.79,20.0,15.0,11.94,15.71,
28610130.0,15.45,20.0,13.55,16.31,20.0,13.93,20.0,20.0,11.67,17.14,7.0
28717594.0,14.55,20.0,11.61,17.03,20.0,14.29,20.0,15.0,13.06,18.57,7.0
3800162.0,16.36,20.0,12.9,20.0,20.0,19.64,20.0,19.38,18.06,17.14,18.33
21109170.0,7.27,16.0,15.16,14.36,18.18,16.43,20.0,,14.44,13.33,5.67
3709743.0,18.18,20.0,16.77,18.77,17.4,18.21,17.33,14.38,9.72,10.48,2.0
21100776.0,8.18,19.44,12.26,15.49,18.79,16.07,20.0,16.25,15.0,14.29,7.67
28710229.0,12.27,,,,,,,,,,
3802257.0,13.64,20.0,20.0,19.69,20.0,19.64,20.0,15.63,13.89,17.62,15.0
28610667.0,15.0,16.0,20.0,15.38,17.58,15.36,20.0,14.38,10.28,18.57,12.67
3672320.0,9.09,12.44,20.0,19.69,12.16,19.29,,16.88,12.5,13.81,18.33
28610190.0,15.45,20.0,12.26,14.15,19.22,16.43,20.0,11.25,12.22,17.14,4.67
21108842.0,14.09,14.0,20.0,11.79,17.58,15.71,20.0,9.38,13.33,18.57,8.67
3810768.0,18.18,19.0,20.0,19.38,20.0,16.79,16.67,14.38,13.89,15.71,13.33
3876023.0,7.27,16.0,14.84,12.92,18.79,17.86,,,,,
28601393.0,16.36,20.0,17.42,18.21,20.0,17.14,20.0,19.38,16.67,12.86,6.0
28610187.0,15.91,20.0,18.06,20.0,20.0,18.21,20.0,15.0,15.0,18.57,9.33
3309154.0,15.45,20.0,15.48,13.44,20.0,19.64,20.0,19.38,19.17,15.71,18.67
3812676.0,12.73,20.0,18.71,19.69,16.36,18.21,19.33,13.75,12.5,13.33,2.67
28602292.0,11.82,20.0,,,,,,,,,
28600563.0,16.36,16.0,16.13,15.59,20.0,18.93,20.0,15.0,15.83,18.1,15.0
28620155.0,15.0,16.0,19.35,15.54,20.0,16.79,6.0,19.38,13.33,14.76,4.0
3415756.0,7.27,19.0,13.55,7.13,18.01,18.57,18.67,15.63,8.06,16.19,3.67
3522190.0,16.36,20.0,19.35,16.0,20.0,18.21,14.0,18.13,7.22,17.62,8.0
28609645.0,14.09,18.0,17.42,18.26,20.0,17.86,20.0,15.0,15.83,13.81,8.0
28605064.0,18.18,13.0,20.0,19.69,17.79,15.36,18.67,14.38,12.5,10.95,3.0
28617603.0,14.55,20.0,11.61,16.72,20.0,14.29,20.0,13.75,13.06,18.57,8.33
28600712.0,15.45,15.0,12.26,14.56,18.79,15.36,14.67,17.5,15.83,10.95,6.33
28610127.0,4.55,20.0,14.84,15.49,20.0,16.79,20.0,16.88,15.0,11.9,1.0
28602563.0,15.45,10.0,17.42,16.31,20.0,20.0,20.0,20.0,15.0,17.14,7.67
28610328.0,15.45,15.0,16.13,14.46,18.18,15.36,14.67,16.88,17.5,13.33,12.67
28717871.0,13.64,19.0,10.97,19.38,18.79,12.86,20.0,15.63,14.17,18.1,12.67
28601343.0,5.45,20.0,12.26,10.05,19.39,15.36,18.67,16.25,15.0,11.9,2.67
3603679.0,16.36,19.0,5.81,16.72,20.0,20.0,18.67,16.88,19.17,14.76,6.33
3809215.0,7.27,20.0,8.39,18.46,18.01,14.29,20.0,9.38,13.33,11.43,10.0
3800646.0,16.82,20.0,20.0,19.38,20.0,17.86,20.0,19.38,15.83,18.57,14.33
28603036.0,17.27,20.0,7.74,16.0,17.4,15.71,19.33,13.13,13.89,10.0,
28602830.0,16.82,17.0,15.48,12.67,20.0,11.07,9.33,9.38,7.22,10.95,4.67
28609129.0,13.64,16.0,9.68,13.13,16.36,13.93,20.0,5.63,13.89,10.0,
28603833.0,7.27,16.0,15.48,15.08,18.79,7.5,,7.5,,0.0,
28720778.0,15.45,20.0,12.9,19.69,20.0,16.43,20.0,16.25,17.5,13.81,
3872127.0,3.64,20.0,10.97,19.69,18.05,18.93,18.67,12.5,14.72,9.05,6.0
21113646.0,12.73,20.0,14.84,19.69,16.73,20.0,20.0,17.5,15.83,18.57,14.0
21102696.0,12.73,20.0,14.19,16.82,19.61,19.64,19.33,20.0,11.39,,13.33
28709864.0,11.82,20.0,16.13,17.13,20.0,18.93,20.0,19.38,13.33,18.1,14.67
28602191.0,9.09,20.0,14.84,,15.15,,,,,,
28716807.0,15.45,13.0,17.42,19.08,16.73,13.21,19.33,16.88,15.0,17.62,8.33
21112855.0,12.73,20.0,16.77,14.87,20.0,14.29,18.0,14.38,16.67,14.29,5.67
28600602.0,14.55,16.0,15.48,16.21,20.0,15.36,20.0,15.0,11.94,18.1,8.67
3809224.0,16.82,19.0,15.48,17.23,18.18,20.0,20.0,13.75,16.39,18.57,15.67
21104636.0,16.36,20.0,20.0,19.08,15.52,19.29,20.0,13.13,16.67,12.86,8.67
28600518.0,17.27,16.0,12.26,11.44,18.18,15.36,20.0,9.38,15.0,19.05,7.0
21113317.0,8.18,6.0,10.32,0.0,16.48,15.71,18.67,9.38,14.17,6.19,8.0
28636372.0,17.27,17.0,16.13,16.56,15.05,15.0,7.33,13.13,11.39,12.38,0.67
28602737.0,10.91,9.11,11.61,11.9,18.18,12.86,11.33,9.38,7.5,6.67,2.0
28600880.0,15.0,20.0,14.19,20.0,18.79,20.0,17.33,20.0,15.0,16.67,15.0
28603735.0,14.55,16.0,18.06,19.08,20.0,15.0,20.0,17.5,15.0,14.29,14.33
3805942.0,14.09,20.0,15.48,17.74,20.0,17.86,20.0,20.0,13.89,13.33,19.0
28605296.0,16.82,20.0,14.84,19.08,18.79,17.86,16.0,20.0,13.89,18.57,15.0
3808834.0,17.27,20.0,13.55,20.0,17.58,18.57,20.0,16.25,14.17,11.9,9.0
28009976.0,6.36,13.78,9.68,16.31,20.0,17.14,20.0,15.63,19.17,13.81,10.0
28606375.0,15.45,17.0,19.35,20.0,16.73,20.0,20.0,15.63,16.11,17.62,16.67
28717408.0,8.18,20.0,10.97,17.03,20.0,14.29,20.0,15.0,13.06,18.1,18.67
28610100.0,17.73,20.0,16.77,15.69,20.0,20.0,20.0,16.88,16.11,14.76,12.0
28607006.0,7.27,14.89,10.97,19.08,20.0,20.0,20.0,16.25,19.17,13.33,9.33
21120079.0,6.82,17.78,14.84,16.31,20.0,16.07,20.0,16.25,15.0,15.71,14.33
28617513.0,16.36,20.0,13.55,12.92,20.0,11.43,20.0,18.75,13.33,13.81,4.33
21112391.0,13.64,16.0,12.9,15.08,20.0,16.07,20.0,14.38,11.11,13.81,12.0
3800992.0,15.45,16.0,16.13,9.54,20.0,19.29,20.0,18.75,17.5,13.81,1.67
28705217.0,10.0,9.11,12.26,16.36,10.1,14.29,16.0,15.0,14.17,13.81,11.67
28600503.0,17.27,20.0,17.42,13.44,20.0,16.07,20.0,17.5,12.78,13.81,8.33
3801541.0,2.27,20.0,17.42,13.03,17.4,15.71,20.0,17.5,16.67,,5.33
21119283.0,15.45,14.0,10.97,9.85,19.61,14.64,,5.63,15.0,13.81,
28600456.0,15.45,19.44,17.42,16.72,20.0,18.21,20.0,18.13,17.5,9.52,1.67
28606343.0,18.18,16.0,20.0,20.0,14.91,19.64,20.0,19.38,16.11,17.62,16.67
28618173.0,11.82,20.0,13.55,19.38,16.73,19.64,20.0,18.75,16.67,13.33,4.33
3703339.0,10.0,19.0,19.35,19.64,20.0,19.64,20.0,17.5,12.22,15.71,
21116094.0,10.0,16.0,9.68,19.08,20.0,13.93,,19.38,17.5,12.38,
28615820.0,16.36,20.0,16.77,20.0,20.0,15.71,20.0,18.75,12.5,17.14,6.33
28603688.0,2.73,9.22,0.0,,9.5,,20.0,13.75,15.0,,
28606345.0,19.09,20.0,13.55,17.44,20.0,20.0,20.0,20.0,19.17,18.57,17.0
3811248.0,10.0,7.78,9.03,14.77,16.73,16.43,,10.0,7.78,10.48,3.67
28600150.0,11.82,19.0,9.68,10.21,18.83,16.43,20.0,15.63,14.44,17.62,5.0
3804657.0,6.36,18.33,,20.0,17.01,19.64,,16.88,10.56,7.14,12.67
3801327.0,15.45,20.0,18.71,19.69,18.79,18.93,16.67,20.0,15.83,18.1,7.67
21116827.0,16.36,17.78,14.84,11.59,18.79,18.57,20.0,8.75,15.0,,18.67
3800191.0,18.64,18.89,15.48,16.21,19.61,12.5,19.33,13.75,14.72,9.05,1.0
28600741.0,3.64,16.0,7.1,9.23,16.58,12.86,20.0,13.75,6.39,15.24,3.0
28606994.0,12.73,16.0,11.61,13.18,15.15,14.29,15.33,16.88,12.5,12.86,0.0
28604113.0,15.45,20.0,16.13,19.08,18.91,19.64,20.0,13.75,15.0,15.24,3.67
28604113.0,15.45,20.0,16.13,19.08,18.91,19.64,20.0,13.75,15.0,15.24,0.0
21107392.0,11.82,16.0,17.42,19.38,20.0,16.07,19.33,19.38,13.33,18.1,14.33
28609954.0,7.73,11.89,12.26,16.92,16.36,12.5,18.67,10.63,15.0,11.9,8.33
21113585.0,8.18,20.0,11.61,16.82,20.0,14.29,20.0,15.0,13.06,18.57,7.0
28607755.0,14.09,20.0,17.42,14.26,14.55,16.79,14.67,13.75,13.33,12.86,6.0
28600693.0,15.91,20.0,18.71,17.23,20.0,18.21,19.33,13.75,16.67,18.57,2.67
28601765.0,4.55,7.78,12.26,13.03,20.0,16.79,,15.63,12.22,,12.33
28607704.0,5.45,12.67,13.55,8.82,19.39,12.14,11.33,13.13,12.5,8.57,15.0
28601009.0,15.45,16.78,20.0,15.18,20.0,18.21,,8.13,16.67,,
3970759.0,0.0,1.0,,,3.42,,,,,,
3803083.0,7.27,10.22,5.81,18.36,18.05,17.86,,11.88,10.83,13.81,2.67
28601285.0,11.82,18.44,11.61,19.08,16.48,19.29,20.0,12.5,10.0,14.29,11.67
3680880.0,12.73,20.0,,16.1,14.91,18.21,,9.38,15.0,18.1,5.33
21101133.0,10.91,17.0,16.13,19.38,15.8,18.93,20.0,13.75,12.5,10.95,5.33
3703980.0,14.55,20.0,19.35,20.0,20.0,20.0,20.0,20.0,15.0,18.1,10.33
3802791.0,,17.0,4.52,14.15,13.59,15.36,20.0,20.0,15.0,16.67,7.33
3801962.0,,20.0,10.97,,,,,,15.0,18.1,9.0
21109706.0,,17.89,10.97,12.31,,,,,15.0,,2.0
21109700.0,,15.0,12.9,9.28,19.0,16.43,,19.38,15.0,13.81,1.67
28610207.0,,17.44,,1.85,,,,,,,
28614924.0,,15.89,,9.44,19.61,13.21,20.0,19.38,13.89,13.81,8.0
28607223.0,,14.89,10.97,7.38,17.7,16.07,15.33,9.38,10.83,10.48,
21109001.0,,20.0,16.13,15.08,19.39,15.36,20.0,14.38,13.33,9.52,11.33
3670244.0,,8.0,,,,,,,,,
3700903.0,,16.11,,12.1,15.15,15.0,,,,,
21109006.0,,16.78,5.81,,13.94,,1.33,18.75,14.17,13.81,3.67
28614980.0,,20.0,12.9,16.1,19.61,12.86,20.0,10.0,12.5,13.81,1.0
21113695.0,,,9.03,8.15,20.0,20.0,16.0,16.25,15.83,13.81,4.67
3802466.0,,,9.68,10.1,18.83,18.93,20.0,20.0,16.67,18.57,10.67
3702933.0,,,,9.95,18.4,17.5,,14.38,9.44,18.57,
2203537.0,,,,,,10.0,,,,,0.0
2800282.0,,,,,,,,5.0,11.11,17.62,4.33
