State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /8.62,Q. 2 /11.38
Finished,4 octobre 2021  6:07 ,4 octobre 2021  6:37 ,30.93,18.46,7.69,10.77
Finished,11 octobre 2021  9:51 ,11 octobre 2021  10:30 ,38.65,1.85,1.85,-
Finished,10 octobre 2021  5:55 ,10 octobre 2021  7:06 ,70.0,18.31,7.59,10.72
Finished,10 octobre 2021  10:32 ,10 octobre 2021  11:06 ,34.48,19.08,8.00,11.08
Finished,11 octobre 2021  3:25 ,11 octobre 2021  4:38 ,73.0,15.38,8.62,6.77
Finished,10 octobre 2021  4:16 ,10 octobre 2021  5:48 ,92.0,20.00,8.62,11.38
Finished,10 octobre 2021  4:16 ,10 octobre 2021  5:37 ,81.0,19.69,8.62,11.08
Finished,10 octobre 2021  5:29 ,10 octobre 2021  5:48 ,19.5,18.77,7.38,11.38
Finished,10 octobre 2021  9:04 ,10 octobre 2021  10:28 ,84.0,17.44,6.05,11.38
Finished,10 octobre 2021  9:40 ,10 octobre 2021  10:38 ,58.32,15.38,6.77,8.62
Finished,11 octobre 2021  12:09 ,11 octobre 2021  12:13 ,4.67,9.74,4.82,4.92
Finished,10 octobre 2021  11:07 ,11 octobre 2021  1:03 ,116.0,16.10,6.15,9.95
Finished,10 octobre 2021  11:21 ,11 octobre 2021  12:33 ,71.0,17.44,6.36,11.08
Finished,9 octobre 2021  3:46 ,9 octobre 2021  4:12 ,25.4,15.49,4.10,11.38
Finished,10 octobre 2021  5:50 ,10 octobre 2021  7:31 ,101.0,19.08,8.62,10.46
Finished,10 octobre 2021  10:05 ,10 octobre 2021  11:36 ,91.0,17.13,5.74,11.38
Finished,7 octobre 2021  5:53 ,7 octobre 2021  7:10 ,77.0,6.87,4.00,2.87
Finished,10 octobre 2021  8:34 ,10 octobre 2021  9:44 ,70.0,12.00,5.54,6.46
Finished,11 octobre 2021  12:41 ,11 octobre 2021  1:58 ,77.0,16.00,5.85,10.15
Finished,5 octobre 2021  7:34 ,5 octobre 2021  8:11 ,37.13,20.00,8.62,11.38
Finished,9 octobre 2021  7:46 ,9 octobre 2021  9:33 ,106.0,19.08,8.62,10.46
Finished,10 octobre 2021  11:59 ,11 octobre 2021  12:49 ,49.7,18.77,7.38,11.38
Finished,10 octobre 2021  11:59 ,11 octobre 2021  12:49 ,50.07,19.69,8.62,11.08
Finished,10 octobre 2021  5:38 ,10 octobre 2021  7:13 ,95.0,16.31,7.38,8.92
Finished,8 octobre 2021  8:40 ,8 octobre 2021  9:53 ,73.0,17.03,6.56,10.46
Finished,10 octobre 2021  6:25 ,10 octobre 2021  8:25 ,120.0,9.44,8.00,1.44
Finished,10 octobre 2021  1:35 ,10 octobre 2021  2:48 ,72.0,20.00,8.62,11.38
Finished,11 octobre 2021  12:41 ,11 octobre 2021  1:42 ,60.0,14.36,7.18,7.18
Finished,8 octobre 2021  5:48 ,8 octobre 2021  6:05 ,17.3,18.77,8.00,10.77
Finished,10 octobre 2021  3:36 ,10 octobre 2021  4:07 ,30.48,15.49,8.62,6.87
Finished,9 octobre 2021  6:18 ,9 octobre 2021  7:26 ,68.0,19.69,8.62,11.08
Finished,6 octobre 2021  9:30 ,6 octobre 2021  10:40 ,69.0,15.38,8.00,7.38
Finished,10 octobre 2021  3:12 ,10 octobre 2021  4:08 ,56.03,19.69,8.62,11.08
Finished,11 octobre 2021  9:33 ,11 octobre 2021  10:24 ,51.65,14.15,5.13,9.03
Finished,11 octobre 2021  6:42 ,11 octobre 2021  7:26 ,44.58,11.79,4.31,7.49
Finished,10 octobre 2021  4:58 ,10 octobre 2021  5:34 ,35.53,19.38,8.00,11.38
Finished,10 octobre 2021  10:13 ,10 octobre 2021  11:51 ,98.0,12.92,5.54,7.38
Finished,10 octobre 2021  11:54 ,11 octobre 2021  1:16 ,82.0,18.21,7.18,11.03
Finished,9 octobre 2021  8:35 ,9 octobre 2021  10:01 ,86.0,20.00,8.62,11.38
Finished,11 octobre 2021  10:02 ,11 octobre 2021  10:30 ,27.72,13.44,6.36,7.08
Finished,5 octobre 2021  10:04 ,5 octobre 2021  10:36 ,32.0,19.69,8.62,11.08
Finished,9 octobre 2021  4:22 ,9 octobre 2021  5:35 ,72.0,15.59,4.51,11.08
Finished,11 octobre 2021  10:18 ,11 octobre 2021  10:28 ,10.25,7.38,2.46,4.92
Finished,11 octobre 2021  12:32 ,11 octobre 2021  12:39 ,6.88,15.54,8.41,7.13
Finished,11 octobre 2021  8:39 ,11 octobre 2021  9:55 ,75.0,7.13,5.44,1.69
Finished,10 octobre 2021  11:11 ,10 octobre 2021  11:53 ,41.45,16.00,8.62,7.38
Finished,9 octobre 2021  4:10 ,9 octobre 2021  5:22 ,72.0,18.26,7.18,11.08
Finished,9 octobre 2021  5:10 ,9 octobre 2021  6:12 ,61.0,19.69,8.62,11.08
Finished,8 octobre 2021  8:40 ,8 octobre 2021  9:52 ,71.0,16.72,6.56,10.15
Finished,10 octobre 2021  2:03 ,10 octobre 2021  2:46 ,42.18,14.56,3.79,10.77
Finished,10 octobre 2021  11:33 ,11 octobre 2021  12:39 ,65.0,15.49,5.03,10.46
Finished,10 octobre 2021  11:35 ,10 octobre 2021  11:55 ,20.43,16.31,5.95,10.36
Finished,10 octobre 2021  8:53 ,10 octobre 2021  10:21 ,88.0,14.46,6.77,7.69
Finished,11 octobre 2021  12:16 ,11 octobre 2021  12:49 ,32.97,19.38,8.62,10.77
Finished,10 octobre 2021  2:30 ,10 octobre 2021  4:20 ,109.0,10.05,5.54,4.51
Finished,10 octobre 2021  11:29 ,11 octobre 2021  12:33 ,64.0,16.72,5.33,11.38
Finished,10 octobre 2021  5:24 ,10 octobre 2021  6:22 ,58.63,18.46,7.38,11.08
Finished,10 octobre 2021  8:29 ,10 octobre 2021  9:00 ,30.77,19.38,8.00,11.38
Finished,9 octobre 2021  2:56 ,9 octobre 2021  3:25 ,29.52,16.00,7.38,8.62
Finished,9 octobre 2021  9:55 ,9 octobre 2021  10:38 ,42.62,15.08,6.15,8.92
Finished,10 octobre 2021  4:06 ,10 octobre 2021  4:43 ,37.15,12.67,6.26,6.41
Finished,10 octobre 2021  9:23 ,10 octobre 2021  10:57 ,93.0,13.13,7.38,5.74
Finished,10 octobre 2021  3:29 ,10 octobre 2021  3:58 ,28.53,15.08,8.00,7.08
Finished,10 octobre 2021  8:31 ,10 octobre 2021  9:49 ,78.0,19.69,8.62,11.08
Finished,10 octobre 2021  4:11 ,10 octobre 2021  5:32 ,80.0,19.69,8.62,11.08
Finished,10 octobre 2021  3:52 ,10 octobre 2021  5:17 ,84.0,19.69,8.62,11.08
Finished,10 octobre 2021  6:08 ,10 octobre 2021  7:26 ,78.0,17.13,5.74,11.38
Finished,10 octobre 2021  6:40 ,10 octobre 2021  7:36 ,55.9,16.82,5.74,11.08
Finished,10 octobre 2021  9:38 ,10 octobre 2021  9:55 ,17.72,19.08,8.62,10.46
Finished,11 octobre 2021  9:06 ,11 octobre 2021  10:29 ,82.0,14.87,8.00,6.87
Finished,7 octobre 2021  4:59 ,7 octobre 2021  5:35 ,36.72,16.21,6.15,10.05
Finished,7 octobre 2021  11:02 ,7 octobre 2021  1:02 ,120.0,17.23,6.15,11.08
Finished,6 octobre 2021  5:42 ,6 octobre 2021  6:16 ,33.77,19.08,8.62,10.46
Finished,10 octobre 2021  5:14 ,10 octobre 2021  6:01 ,46.28,11.44,5.13,6.31
Finished,10 octobre 2021  11:24 ,11 octobre 2021  1:24 ,120.0,0.00,-,-
Finished,6 octobre 2021  8:02 ,6 octobre 2021  8:19 ,16.1,16.56,6.15,10.41
Finished,9 octobre 2021  8:48 ,9 octobre 2021  9:40 ,51.58,11.90,5.13,6.77
Finished,7 octobre 2021  3:40 ,7 octobre 2021  3:52 ,11.5,20.00,8.62,11.38
Finished,9 octobre 2021  3:01 ,9 octobre 2021  3:55 ,54.05,19.08,8.00,11.08
Finished,10 octobre 2021  11:34 ,11 octobre 2021  12:32 ,57.32,17.74,6.36,11.38
Finished,7 octobre 2021  3:23 ,7 octobre 2021  3:39 ,16.5,19.08,8.62,10.46
Finished,9 octobre 2021  4:28 ,9 octobre 2021  5:29 ,60.0,20.00,8.62,11.38
Finished,10 octobre 2021  7:11 ,10 octobre 2021  8:17 ,65.0,16.31,6.77,9.54
Finished,11 octobre 2021  6:53 ,11 octobre 2021  7:09 ,16.67,12.10,8.62,3.49
Finished,10 octobre 2021  6:07 ,10 octobre 2021  6:20 ,13.0,20.00,8.62,11.38
Finished,8 octobre 2021  8:39 ,8 octobre 2021  9:52 ,72.0,17.03,6.56,10.46
Finished,10 octobre 2021  9:52 ,10 octobre 2021  10:21 ,28.97,15.69,7.38,8.31
Finished,10 octobre 2021  11:52 ,10 octobre 2021  12:36 ,44.05,19.08,8.00,11.08
Finished,9 octobre 2021  9:39 ,9 octobre 2021  10:26 ,46.9,16.31,6.46,9.85
Finished,10 octobre 2021  7:57 ,10 octobre 2021  9:47 ,110.0,12.92,6.15,6.77
Finished,10 octobre 2021  2:42 ,10 octobre 2021  4:29 ,107.0,15.08,4.00,11.08
Finished,10 octobre 2021  9:20 ,10 octobre 2021  10:33 ,73.0,9.54,4.72,4.82
Finished,9 octobre 2021  5:11 ,9 octobre 2021  6:23 ,72.0,16.36,7.38,8.97
Finished,10 octobre 2021  6:15 ,10 octobre 2021  7:16 ,61.0,13.44,6.36,7.08
Finished,11 octobre 2021  12:23 ,11 octobre 2021  2:23 ,120.0,13.03,6.56,6.46
Finished,11 octobre 2021  10:10 ,11 octobre 2021  10:30 ,19.93,9.85,3.79,6.05
Finished,11 octobre 2021  5:15 ,11 octobre 2021  6:23 ,68.0,16.72,7.38,9.33
Finished,10 octobre 2021  4:23 ,10 octobre 2021  6:06 ,102.0,20.00,8.62,11.38
Finished,10 octobre 2021  11:40 ,11 octobre 2021  12:38 ,57.18,19.38,8.00,11.38
Finished,11 octobre 2021  12:05 ,11 octobre 2021  12:41 ,35.75,19.64,8.62,11.03
Finished,10 octobre 2021  9:45 ,10 octobre 2021  11:13 ,88.0,19.08,8.62,10.46
Finished,7 octobre 2021  2:52 ,7 octobre 2021  3:40 ,48.22,16.10,5.33,10.77
Finished,9 octobre 2021  5:29 ,9 octobre 2021  6:33 ,63.0,20.00,8.62,11.38
Finished,9 octobre 2021  4:05 ,9 octobre 2021  4:59 ,54.2,17.44,6.36,11.08
Finished,7 octobre 2021  3:15 ,7 octobre 2021  4:49 ,93.0,14.77,8.00,6.77
Finished,10 octobre 2021  3:45 ,10 octobre 2021  5:13 ,88.0,10.21,8.00,2.21
Finished,11 octobre 2021  10:16 ,11 octobre 2021  10:29 ,12.92,20.00,8.62,11.38
Finished,9 octobre 2021  3:27 ,9 octobre 2021  4:21 ,54.38,19.69,8.62,11.08
Finished,10 octobre 2021  9:41 ,10 octobre 2021  11:41 ,120.0,11.59,6.36,5.23
Finished,10 octobre 2021  7:43 ,10 octobre 2021  8:21 ,38.05,16.21,8.41,7.79
Finished,10 octobre 2021  7:17 ,10 octobre 2021  7:38 ,20.98,9.23,3.79,5.44
Finished,10 octobre 2021  11:39 ,11 octobre 2021  1:04 ,84.0,13.18,7.38,5.79
Finished,5 octobre 2021  7:40 ,5 octobre 2021  9:21 ,101.0,19.08,8.00,11.08
Finished,10 octobre 2021  10:51 ,10 octobre 2021  11:04 ,13.02,19.38,8.00,11.38
Finished,10 octobre 2021  11:11 ,10 octobre 2021  12:02 ,51.53,16.92,8.00,8.92
Finished,10 octobre 2021  4:02 ,10 octobre 2021  5:45 ,102.0,16.82,6.36,10.46
Finished,11 octobre 2021  9:26 ,11 octobre 2021  10:30 ,63.0,14.26,5.13,9.13
Finished,9 octobre 2021  8:55 ,9 octobre 2021  9:58 ,63.0,17.23,8.62,8.62
Finished,10 octobre 2021  10:43 ,10 octobre 2021  11:35 ,51.8,13.03,6.26,6.77
Finished,8 octobre 2021  6:16 ,8 octobre 2021  7:12 ,56.42,18.36,8.62,9.74
Finished,9 octobre 2021  4:34 ,9 octobre 2021  4:52 ,17.6,8.82,3.79,5.03
Finished,10 octobre 2021  11:35 ,11 octobre 2021  12:00 ,24.85,15.18,7.69,7.49
Finished,10 octobre 2021  11:11 ,10 octobre 2021  12:01 ,50.38,19.08,8.00,11.08
Finished,11 octobre 2021  2:57 ,11 octobre 2021  3:16 ,19.43,16.10,8.62,7.49
Finished,9 octobre 2021  6:01 ,9 octobre 2021  6:28 ,26.63,19.38,8.62,10.77
Finished,10 octobre 2021  12:55 ,10 octobre 2021  2:00 ,64.0,20.00,8.62,11.38
