State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /8.62,Q. 2 /11.38
Finished,8 October 2022  7:42 AM,8 October 2022  8:51 AM,1 hour 9 mins,19.38,8.00,11.38
Finished,8 October 2022  8:35 AM,8 October 2022  9:59 AM,1 hour 24 mins,16.31,8.62,7.69
Finished,8 October 2022  9:29 AM,8 October 2022  10:13 AM,43 mins 24 secs,19.69,8.62,11.08
Finished,8 October 2022  9:40 AM,8 October 2022  10:16 AM,35 mins 17 secs,19.69,8.62,11.08
Finished,8 October 2022  10:01 AM,8 October 2022  11:11 AM,1 hour 10 mins,20.00,8.62,11.38
Finished,8 October 2022  10:08 AM,8 October 2022  10:56 AM,47 mins 59 secs,19.38,8.62,10.77
Finished,8 October 2022  10:27 AM,8 October 2022  11:15 AM,48 mins 5 secs,20.00,8.62,11.38
Finished,8 October 2022  10:28 AM,8 October 2022  12:03 PM,1 hour 35 mins,18.36,8.62,9.74
Finished,8 October 2022  10:29 AM,8 October 2022  11:19 AM,50 mins 6 secs,20.00,8.62,11.38
Finished,8 October 2022  10:30 AM,8 October 2022  12:30 PM,2 hours,20.00,8.62,11.38
Finished,8 October 2022  10:33 AM,8 October 2022  11:20 AM,46 mins 35 secs,19.69,8.31,11.38
Finished,8 October 2022  10:34 AM,8 October 2022  11:20 AM,46 mins 5 secs,19.69,8.62,11.08
Finished,8 October 2022  10:36 AM,8 October 2022  11:20 AM,43 mins 49 secs,19.69,8.62,11.08
Finished,8 October 2022  10:58 AM,8 October 2022  12:34 PM,1 hour 35 mins,9.13,2.97,6.15
Finished,8 October 2022  11:11 AM,8 October 2022  12:00 PM,48 mins 49 secs,19.69,8.62,11.08
Finished,8 October 2022  11:13 AM,8 October 2022  11:53 AM,39 mins 21 secs,19.69,8.62,11.08
Finished,8 October 2022  11:15 AM,8 October 2022  12:19 PM,1 hour 3 mins,19.69,8.62,11.08
Finished,8 October 2022  11:32 AM,8 October 2022  11:58 AM,25 mins 57 secs,19.08,8.00,11.08
Finished,8 October 2022  11:53 AM,8 October 2022  12:15 PM,21 mins 12 secs,19.69,8.62,11.08
Finished,8 October 2022  11:54 AM,8 October 2022  1:18 PM,1 hour 24 mins,20.00,8.62,11.38
Finished,8 October 2022  11:54 AM,8 October 2022  12:17 PM,23 mins 55 secs,20.00,8.62,11.38
Finished,8 October 2022  12:02 PM,8 October 2022  1:37 PM,1 hour 35 mins,19.08,8.62,10.46
Finished,8 October 2022  12:03 PM,8 October 2022  12:42 PM,39 mins 5 secs,19.69,8.62,11.08
Finished,8 October 2022  12:04 PM,8 October 2022  1:18 PM,1 hour 13 mins,19.08,8.00,11.08
Finished,8 October 2022  12:05 PM,8 October 2022  12:43 PM,38 mins 6 secs,20.00,8.62,11.38
Finished,8 October 2022  12:07 PM,8 October 2022  1:39 PM,1 hour 32 mins,19.18,7.79,11.38
Finished,8 October 2022  12:07 PM,8 October 2022  1:31 PM,1 hour 23 mins,19.69,8.62,11.08
Finished,8 October 2022  12:09 PM,8 October 2022  1:07 PM,57 mins 59 secs,19.38,8.62,10.77
Finished,8 October 2022  12:15 PM,8 October 2022  12:41 PM,25 mins 52 secs,14.87,7.08,7.79
Finished,8 October 2022  12:51 PM,8 October 2022  2:42 PM,1 hour 50 mins,18.46,7.38,11.08
Finished,8 October 2022  12:56 PM,8 October 2022  2:02 PM,1 hour 5 mins,10.46,6.15,4.31
Finished,8 October 2022  1:08 PM,8 October 2022  2:36 PM,1 hour 28 mins,13.85,6.97,6.87
Finished,8 October 2022  1:44 PM,8 October 2022  2:01 PM,16 mins 54 secs,19.69,8.62,11.08
Finished,8 October 2022  1:47 PM,8 October 2022  2:16 PM,28 mins 7 secs,17.23,6.15,11.08
Finished,8 October 2022  1:57 PM,8 October 2022  2:54 PM,57 mins 34 secs,19.08,8.00,11.08
Finished,8 October 2022  2:02 PM,8 October 2022  2:19 PM,17 mins,19.69,8.62,11.08
Finished,8 October 2022  2:05 PM,8 October 2022  3:17 PM,1 hour 12 mins,10.31,4.10,6.21
Finished,8 October 2022  2:06 PM,8 October 2022  2:54 PM,48 mins 33 secs,19.38,8.00,11.38
Finished,8 October 2022  2:10 PM,8 October 2022  2:53 PM,42 mins 43 secs,19.69,8.62,11.08
Finished,8 October 2022  2:13 PM,8 October 2022  2:27 PM,14 mins 24 secs,16.00,8.62,7.38
Finished,8 October 2022  2:14 PM,8 October 2022  3:03 PM,49 mins 2 secs,20.00,8.62,11.38
Finished,8 October 2022  2:14 PM,8 October 2022  3:03 PM,49 mins 2 secs,20.00,8.62,11.38
Finished,8 October 2022  2:18 PM,8 October 2022  2:46 PM,27 mins 16 secs,15.79,5.64,10.15
Finished,8 October 2022  2:35 PM,8 October 2022  3:49 PM,1 hour 13 mins,14.77,5.54,9.23
Finished,8 October 2022  2:37 PM,8 October 2022  3:49 PM,1 hour 11 mins,13.85,4.62,9.23
Finished,8 October 2022  2:43 PM,8 October 2022  3:01 PM,18 mins 37 secs,17.95,6.56,11.38
Finished,8 October 2022  2:50 PM,8 October 2022  4:06 PM,1 hour 16 mins,18.67,7.59,11.08
Finished,8 October 2022  2:53 PM,8 October 2022  4:25 PM,1 hour 32 mins,14.77,8.62,6.15
Finished,8 October 2022  2:58 PM,8 October 2022  3:22 PM,24 mins 28 secs,15.49,8.41,7.08
Finished,8 October 2022  2:59 PM,8 October 2022  3:37 PM,37 mins 4 secs,19.69,8.62,11.08
Finished,8 October 2022  3:00 PM,8 October 2022  4:39 PM,1 hour 39 mins,14.26,8.62,5.64
Finished,8 October 2022  3:01 PM,8 October 2022  4:22 PM,1 hour 20 mins,18.46,7.38,11.08
Finished,8 October 2022  3:01 PM,8 October 2022  4:21 PM,1 hour 19 mins,19.69,8.31,11.38
Finished,8 October 2022  3:02 PM,8 October 2022  3:35 PM,33 mins 28 secs,15.08,5.54,9.54
Finished,8 October 2022  3:04 PM,8 October 2022  3:33 PM,29 mins 10 secs,13.85,6.77,7.08
Finished,8 October 2022  3:04 PM,8 October 2022  4:05 PM,1 hour 1 min,18.05,7.59,10.46
Finished,8 October 2022  3:04 PM,8 October 2022  4:09 PM,1 hour 5 mins,18.87,7.79,11.08
Finished,8 October 2022  3:04 PM,8 October 2022  4:10 PM,1 hour 6 mins,19.08,8.00,11.08
Finished,8 October 2022  3:06 PM,8 October 2022  4:05 PM,59 mins 36 secs,18.15,6.77,11.38
Finished,8 October 2022  3:07 PM,8 October 2022  3:53 PM,46 mins 29 secs,19.69,8.62,11.08
Finished,8 October 2022  3:09 PM,8 October 2022  3:47 PM,38 mins 27 secs,19.49,8.41,11.08
Finished,8 October 2022  3:09 PM,8 October 2022  3:46 PM,36 mins 51 secs,18.26,7.18,11.08
Finished,8 October 2022  3:12 PM,8 October 2022  3:41 PM,29 mins 2 secs,17.74,6.36,11.38
Finished,8 October 2022  3:12 PM,8 October 2022  4:08 PM,55 mins 36 secs,20.00,8.62,11.38
Finished,8 October 2022  3:13 PM,8 October 2022  4:08 PM,54 mins 47 secs,19.08,8.62,10.46
Finished,8 October 2022  3:13 PM,8 October 2022  4:08 PM,55 mins 21 secs,19.79,8.41,11.38
Finished,8 October 2022  3:15 PM,8 October 2022  4:19 PM,1 hour 4 mins,17.74,8.00,9.74
Finished,8 October 2022  3:15 PM,8 October 2022  4:12 PM,56 mins 13 secs,19.69,8.62,11.08
Finished,8 October 2022  3:16 PM,8 October 2022  4:22 PM,1 hour 6 mins,18.77,8.00,10.77
Finished,8 October 2022  3:16 PM,8 October 2022  3:56 PM,39 mins 57 secs,18.97,8.62,10.36
Finished,8 October 2022  3:18 PM,8 October 2022  4:35 PM,1 hour 17 mins,20.00,8.62,11.38
Finished,8 October 2022  3:18 PM,8 October 2022  4:55 PM,1 hour 37 mins,18.67,8.62,10.05
Finished,8 October 2022  3:20 PM,8 October 2022  4:58 PM,1 hour 37 mins,19.69,8.62,11.08
Finished,8 October 2022  3:24 PM,8 October 2022  5:22 PM,1 hour 58 mins,20.00,8.62,11.38
Finished,8 October 2022  3:28 PM,8 October 2022  4:51 PM,1 hour 22 mins,8.87,5.74,3.13
Finished,8 October 2022  3:29 PM,8 October 2022  5:29 PM,2 hours,15.74,5.95,9.79
Finished,8 October 2022  3:32 PM,8 October 2022  4:00 PM,28 mins 15 secs,15.79,8.41,7.38
Finished,8 October 2022  3:34 PM,8 October 2022  4:14 PM,39 mins 26 secs,19.08,8.00,11.08
Finished,8 October 2022  3:36 PM,8 October 2022  3:59 PM,22 mins 53 secs,19.69,8.62,11.08
Finished,8 October 2022  3:37 PM,8 October 2022  3:55 PM,18 mins 12 secs,20.00,8.62,11.38
Finished,8 October 2022  3:39 PM,8 October 2022  4:37 PM,58 mins 12 secs,19.69,8.62,11.08
Finished,8 October 2022  3:40 PM,8 October 2022  5:35 PM,1 hour 55 mins,20.00,8.62,11.38
Finished,8 October 2022  3:41 PM,8 October 2022  4:45 PM,1 hour 4 mins,9.90,4.92,4.97
Finished,8 October 2022  3:46 PM,8 October 2022  4:46 PM,59 mins 43 secs,19.69,8.62,11.08
Finished,8 October 2022  3:47 PM,8 October 2022  4:46 PM,59 mins 28 secs,20.00,8.62,11.38
Finished,8 October 2022  3:47 PM,8 October 2022  4:57 PM,1 hour 9 mins,20.00,8.62,11.38
Finished,8 October 2022  3:47 PM,8 October 2022  4:36 PM,48 mins 40 secs,20.00,8.62,11.38
Finished,8 October 2022  3:49 PM,8 October 2022  4:42 PM,53 mins 18 secs,19.08,8.00,11.08
Finished,8 October 2022  3:51 PM,8 October 2022  4:22 PM,31 mins 13 secs,18.15,7.38,10.77
Finished,8 October 2022  3:52 PM,8 October 2022  4:34 PM,41 mins 8 secs,18.56,8.62,9.95
Finished,8 October 2022  3:55 PM,8 October 2022  4:31 PM,36 mins 47 secs,20.00,8.62,11.38
Finished,8 October 2022  3:57 PM,8 October 2022  4:21 PM,24 mins 6 secs,10.56,4.41,6.15
Finished,8 October 2022  3:57 PM,8 October 2022  5:20 PM,1 hour 23 mins,19.69,8.62,11.08
Finished,8 October 2022  3:58 PM,8 October 2022  4:32 PM,34 mins 16 secs,19.08,8.00,11.08
Finished,8 October 2022  3:58 PM,8 October 2022  4:32 PM,34 mins 35 secs,20.00,8.62,11.38
Finished,8 October 2022  3:59 PM,8 October 2022  4:34 PM,35 mins 16 secs,18.56,8.62,9.95
Finished,8 October 2022  4:03 PM,8 October 2022  4:29 PM,26 mins 38 secs,19.69,8.62,11.08
Finished,8 October 2022  4:05 PM,8 October 2022  4:56 PM,51 mins 6 secs,19.64,8.62,11.03
Finished,8 October 2022  4:06 PM,8 October 2022  5:13 PM,1 hour 7 mins,19.38,8.62,10.77
Finished,8 October 2022  4:09 PM,8 October 2022  4:58 PM,49 mins 26 secs,17.33,8.62,8.72
Finished,8 October 2022  4:11 PM,8 October 2022  5:09 PM,58 mins 31 secs,9.64,5.85,3.79
Finished,8 October 2022  4:12 PM,8 October 2022  5:04 PM,52 mins 4 secs,20.00,8.62,11.38
Finished,8 October 2022  4:12 PM,8 October 2022  5:58 PM,1 hour 45 mins,20.00,8.62,11.38
Finished,8 October 2022  4:13 PM,8 October 2022  5:39 PM,1 hour 25 mins,19.69,8.62,11.08
Finished,8 October 2022  4:14 PM,8 October 2022  4:30 PM,15 mins 58 secs,12.51,6.15,6.36
Finished,8 October 2022  4:14 PM,8 October 2022  4:33 PM,19 mins 14 secs,19.69,8.62,11.08
Finished,8 October 2022  4:15 PM,8 October 2022  5:23 PM,1 hour 7 mins,19.69,8.62,11.08
Finished,8 October 2022  4:15 PM,8 October 2022  6:15 PM,2 hours,19.69,8.62,11.08
Finished,8 October 2022  4:16 PM,8 October 2022  6:07 PM,1 hour 51 mins,18.56,8.62,9.95
Finished,8 October 2022  4:16 PM,8 October 2022  5:23 PM,1 hour 7 mins,17.44,8.41,9.03
Finished,8 October 2022  4:17 PM,8 October 2022  5:30 PM,1 hour 13 mins,20.00,8.62,11.38
Finished,8 October 2022  4:18 PM,8 October 2022  4:54 PM,36 mins 1 sec,16.10,8.41,7.69
Finished,8 October 2022  4:22 PM,8 October 2022  4:52 PM,30 mins 10 secs,20.00,8.62,11.38
Finished,8 October 2022  4:22 PM,8 October 2022  6:11 PM,1 hour 49 mins,18.46,7.38,11.08
Finished,8 October 2022  4:23 PM,8 October 2022  6:16 PM,1 hour 52 mins,15.64,6.15,9.49
Finished,8 October 2022  4:24 PM,8 October 2022  4:39 PM,15 mins 23 secs,17.95,6.56,11.38
Finished,8 October 2022  4:25 PM,8 October 2022  6:18 PM,1 hour 53 mins,19.79,8.41,11.38
Finished,8 October 2022  4:25 PM,8 October 2022  6:25 PM,2 hours,15.03,8.62,6.41
Finished,8 October 2022  4:26 PM,8 October 2022  6:26 PM,2 hours,17.95,7.49,10.46
Finished,8 October 2022  4:26 PM,8 October 2022  5:34 PM,1 hour 7 mins,20.00,8.62,11.38
Finished,8 October 2022  4:28 PM,8 October 2022  6:04 PM,1 hour 35 mins,20.00,8.62,11.38
Finished,8 October 2022  4:28 PM,8 October 2022  6:24 PM,1 hour 56 mins,20.00,8.62,11.38
Finished,8 October 2022  4:28 PM,8 October 2022  6:29 PM,2 hours,19.28,8.21,11.08
Finished,8 October 2022  4:29 PM,8 October 2022  5:53 PM,1 hour 24 mins,19.38,8.62,10.77
Finished,8 October 2022  4:29 PM,8 October 2022  5:41 PM,1 hour 11 mins,18.77,8.00,10.77
Finished,8 October 2022  4:31 PM,8 October 2022  5:54 PM,1 hour 23 mins,13.95,8.00,5.95
Finished,8 October 2022  4:32 PM,8 October 2022  5:11 PM,39 mins 21 secs,16.92,5.85,11.08
Finished,8 October 2022  4:32 PM,8 October 2022  5:09 PM,36 mins 47 secs,18.87,7.79,11.08
Finished,8 October 2022  4:32 PM,8 October 2022  4:54 PM,21 mins 8 secs,18.26,7.49,10.77
Finished,8 October 2022  4:33 PM,8 October 2022  5:33 PM,1 hour,16.56,6.77,9.79
Finished,8 October 2022  4:33 PM,8 October 2022  6:26 PM,1 hour 52 mins,20.00,8.62,11.38
Finished,8 October 2022  4:34 PM,8 October 2022  6:26 PM,1 hour 52 mins,19.38,8.00,11.38
Finished,8 October 2022  4:34 PM,8 October 2022  5:51 PM,1 hour 17 mins,19.69,8.62,11.08
Finished,8 October 2022  4:35 PM,8 October 2022  5:32 PM,57 mins 34 secs,19.38,8.00,11.38
Finished,8 October 2022  4:35 PM,8 October 2022  6:00 PM,1 hour 24 mins,8.62,8.62,-
Finished,8 October 2022  4:38 PM,8 October 2022  5:45 PM,1 hour 6 mins,19.69,8.62,11.08
Finished,8 October 2022  4:41 PM,8 October 2022  6:30 PM,1 hour 48 mins,11.69,7.79,3.90
Finished,8 October 2022  4:41 PM,8 October 2022  4:58 PM,16 mins 51 secs,19.69,8.62,11.08
Finished,8 October 2022  4:46 PM,8 October 2022  5:41 PM,54 mins 57 secs,19.08,8.00,11.08
Finished,8 October 2022  4:49 PM,8 October 2022  6:30 PM,1 hour 40 mins,9.85,7.38,2.46
Finished,8 October 2022  4:55 PM,8 October 2022  5:28 PM,33 mins 2 secs,14.26,8.62,5.64
Finished,8 October 2022  4:59 PM,8 October 2022  5:35 PM,36 mins 3 secs,15.79,7.18,8.62
Finished,8 October 2022  4:59 PM,8 October 2022  5:31 PM,32 mins 6 secs,15.28,7.79,7.49
Finished,8 October 2022  5:02 PM,8 October 2022  5:31 PM,28 mins 36 secs,16.92,5.54,11.38
Finished,8 October 2022  5:03 PM,8 October 2022  5:47 PM,43 mins 59 secs,20.00,8.62,11.38
Finished,8 October 2022  5:05 PM,8 October 2022  6:06 PM,1 hour 1 min,19.69,8.62,11.08
Finished,8 October 2022  5:05 PM,8 October 2022  5:52 PM,46 mins 54 secs,18.77,8.00,10.77
Finished,8 October 2022  5:08 PM,8 October 2022  5:49 PM,40 mins 43 secs,14.77,5.85,8.92
Finished,8 October 2022  5:09 PM,8 October 2022  5:43 PM,34 mins 13 secs,19.08,8.00,11.08
Finished,8 October 2022  5:12 PM,8 October 2022  5:44 PM,32 mins 20 secs,18.77,7.38,11.38
Finished,8 October 2022  5:14 PM,8 October 2022  5:44 PM,29 mins 18 secs,18.56,7.79,10.77
Finished,8 October 2022  5:15 PM,8 October 2022  6:21 PM,1 hour 6 mins,19.38,8.00,11.38
Finished,8 October 2022  5:16 PM,8 October 2022  6:17 PM,1 hour,15.28,6.56,8.72
Finished,8 October 2022  5:16 PM,8 October 2022  6:09 PM,52 mins 31 secs,18.56,8.62,9.95
Finished,8 October 2022  5:28 PM,8 October 2022  5:40 PM,11 mins 38 secs,18.77,8.00,10.77
Finished,8 October 2022  5:41 PM,8 October 2022  6:20 PM,39 mins 34 secs,6.97,3.38,3.59
