State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /4.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /8.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /3.00,Q. 8 /1.00
Finished,6 December 2020  6:27 PM,6 December 2020  7:38 PM,1 hour 11 mins,16.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,0.00
Finished,6 December 2020  8:16 PM,6 December 2020  8:50 PM,33 mins 59 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  6:38 PM,6 December 2020  7:41 PM,1 hour 3 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:11 AM,6 December 2020  11:12 AM,1 min 27 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:15 PM,6 December 2020  9:28 PM,1 hour 13 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,2 December 2020  1:10 PM,2 December 2020  1:12 PM,2 mins 28 secs,8.75,3.75,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  1:00 AM,7 December 2020  1:48 AM,47 mins 53 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,30 November 2020  4:15 PM,30 November 2020  4:26 PM,10 mins 17 secs,0.00,-,-,-,-,-,-,-,-
Finished,6 December 2020  9:28 PM,6 December 2020  11:16 PM,1 hour 47 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:36 PM,7 December 2020  1:19 AM,1 hour 43 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  6:05 PM,6 December 2020  7:46 PM,1 hour 40 mins,8.00,4.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  3:42 PM,6 December 2020  4:33 PM,50 mins 45 secs,9.00,4.00,1.00,1.00,-,1.00,1.00,0.00,1.00
Finished,7 December 2020  12:21 AM,7 December 2020  12:27 AM,6 mins 13 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  10:28 AM,7 December 2020  10:32 AM,3 mins 39 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  2:20 PM,6 December 2020  2:28 PM,8 mins 19 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,1 December 2020  5:17 PM,1 December 2020  6:00 PM,42 mins 52 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:20 PM,6 December 2020  9:41 PM,1 hour 20 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,5 December 2020  6:21 PM,5 December 2020  7:54 PM,1 hour 32 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  9:20 AM,7 December 2020  10:38 AM,1 hour 17 mins,15.00,3.00,1.00,1.00,8.00,0.00,1.00,0.00,1.00
Finished,6 December 2020  8:36 PM,6 December 2020  10:35 PM,1 hour 59 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,3 December 2020  9:36 PM,3 December 2020  10:27 PM,51 mins 13 secs,1.00,0.00,0.00,0.00,0.00,0.00,0.00,-,1.00
Finished,7 December 2020  12:04 AM,7 December 2020  12:54 AM,50 mins 17 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:34 PM,6 December 2020  10:22 PM,1 hour 48 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:56 PM,6 December 2020  11:55 PM,1 hour 59 mins,16.00,3.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:27 PM,6 December 2020  10:47 PM,20 mins 22 secs,8.00,4.00,1.00,1.00,0.00,1.00,0.00,-,1.00
Finished,6 December 2020  11:54 PM,7 December 2020  1:30 AM,1 hour 36 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  12:01 AM,7 December 2020  12:35 AM,33 mins 51 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:13 PM,6 December 2020  10:13 PM,2 hours,6.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,-
Finished,7 December 2020  12:33 AM,7 December 2020  12:35 AM,2 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:07 PM,6 December 2020  9:13 PM,5 mins 52 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:47 AM,6 December 2020  10:11 AM,23 mins 52 secs,7.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  11:27 PM,6 December 2020  11:31 PM,3 mins 21 secs,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  12:51 AM,7 December 2020  1:55 AM,1 hour 4 mins,9.00,4.00,1.00,1.00,-,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:45 PM,6 December 2020  10:48 PM,2 mins 44 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,30 November 2020  10:40 PM,1 December 2020  12:41 AM,2 hours,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  5:10 AM,7 December 2020  6:45 AM,1 hour 35 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:59 PM,7 December 2020  12:30 AM,30 mins 43 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:03 PM,6 December 2020  11:18 PM,1 hour 15 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:08 PM,6 December 2020  11:27 PM,19 mins 38 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:00 PM,6 December 2020  11:56 PM,1 hour 55 mins,7.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  10:02 PM,6 December 2020  11:31 PM,1 hour 28 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:32 PM,6 December 2020  9:58 PM,25 mins 54 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:36 PM,6 December 2020  9:44 PM,8 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:10 PM,6 December 2020  11:01 PM,51 mins 15 secs,15.00,4.00,1.00,0.00,8.00,0.00,1.00,0.00,1.00
Finished,4 December 2020  11:25 PM,4 December 2020  11:53 PM,27 mins 16 secs,4.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Finished,5 December 2020  5:00 PM,5 December 2020  6:34 PM,1 hour 34 mins,6.00,2.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  3:08 PM,6 December 2020  4:39 PM,1 hour 30 mins,16.00,4.00,1.00,1.00,8.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  1:18 AM,7 December 2020  1:23 AM,5 mins 16 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:12 PM,6 December 2020  9:33 PM,21 mins 4 secs,8.00,4.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00
Finished,5 December 2020  6:26 PM,5 December 2020  7:24 PM,57 mins 46 secs,13.00,3.00,0.00,0.00,8.00,1.00,0.00,0.00,1.00
Finished,5 December 2020  1:55 PM,5 December 2020  3:25 PM,1 hour 30 mins,8.00,3.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:02 PM,6 December 2020  10:14 PM,12 mins 24 secs,6.00,2.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00
Finished,6 December 2020  10:12 PM,6 December 2020  10:41 PM,28 mins 56 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:20 AM,6 December 2020  12:05 PM,1 hour 45 mins,8.00,4.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00
Finished,7 December 2020  2:04 AM,7 December 2020  3:04 AM,1 hour,5.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  10:45 PM,7 December 2020  12:43 AM,1 hour 57 mins,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,5 December 2020  4:33 PM,5 December 2020  5:08 PM,35 mins 20 secs,7.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:53 PM,6 December 2020  11:03 PM,10 mins 21 secs,15.00,4.00,1.00,0.00,8.00,0.00,1.00,0.00,1.00
Finished,6 December 2020  8:22 PM,6 December 2020  8:24 PM,1 min 34 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:32 PM,6 December 2020  9:49 PM,17 mins 23 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  7:31 PM,6 December 2020  8:00 PM,28 mins 11 secs,6.00,2.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:30 PM,6 December 2020  9:22 PM,51 mins 1 sec,7.00,4.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00
Finished,6 December 2020  7:40 PM,6 December 2020  8:59 PM,1 hour 19 mins,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  8:33 PM,6 December 2020  9:58 PM,1 hour 25 mins,4.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  8:13 PM,6 December 2020  8:51 PM,37 mins 51 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  1:16 AM,7 December 2020  1:24 AM,7 mins 54 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,5 December 2020  7:46 PM,5 December 2020  9:46 PM,2 hours,3.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00
Finished,6 December 2020  10:53 PM,6 December 2020  11:36 PM,42 mins 21 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,5 December 2020  6:34 PM,5 December 2020  7:08 PM,34 mins 27 secs,14.00,2.00,1.00,1.00,8.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  11:45 PM,7 December 2020  12:26 AM,41 mins 30 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:14 PM,6 December 2020  10:46 PM,1 hour 31 mins,2.00,0.00,1.00,1.00,-,0.00,0.00,-,0.00
Finished,30 November 2020  10:40 PM,1 December 2020  12:40 AM,1 hour 59 mins,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  11:18 PM,6 December 2020  11:27 PM,8 mins 59 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:44 PM,6 December 2020  10:44 PM,2 hours,17.00,4.00,1.00,1.00,8.00,1.00,1.00,-,1.00
Finished,6 December 2020  4:33 PM,6 December 2020  5:23 PM,50 mins 5 secs,5.50,2.50,1.00,0.00,0.00,1.00,1.00,0.00,0.00
Finished,6 December 2020  6:11 PM,6 December 2020  7:49 PM,1 hour 38 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
