State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.36,Q. 2 /6.36,Q. 3 /5.45,Q. 4 /0.00,Q. 5 /1.82
Finished,18 October 2020  5:01 PM,18 October 2020  5:16 PM,15,16.36,3.64,6.36,4.55,-,1.82
Finished,19 October 2020  12:51 AM,19 October 2020  1:54 AM,62,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:43 PM,18 October 2020  10:00 PM,17,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:57 PM,18 October 2020  10:57 PM,119,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  9:06 AM,19 October 2020  10:23 AM,76,17.05,5.23,6.36,3.64,-,1.82
Finished,18 October 2020  5:32 PM,18 October 2020  5:43 PM,11,10.23,2.50,2.27,3.64,-,1.82
Finished,18 October 2020  8:50 PM,18 October 2020  8:52 PM,3,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  8:05 PM,17 October 2020  8:52 PM,47,16.82,5.00,4.55,5.45,-,1.82
Finished,18 October 2020  8:58 PM,18 October 2020  9:13 PM,15,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  10:56 PM,18 October 2020  11:39 PM,44,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  8:32 AM,19 October 2020  10:05 AM,92,18.86,5.23,6.36,5.45,-,1.82
Finished,19 October 2020  2:42 AM,19 October 2020  2:53 AM,11,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:06 PM,18 October 2020  10:35 PM,88,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:53 PM,18 October 2020  3:01 PM,8,18.86,6.14,6.36,4.55,-,1.82
Finished,19 October 2020  12:26 AM,19 October 2020  12:49 AM,23,20.00,6.36,6.36,5.45,-,1.82
Finished,12 October 2020  4:22 PM,12 October 2020  4:47 PM,25,18.41,4.77,6.36,5.45,-,1.82
Finished,17 October 2020  12:08 PM,17 October 2020  12:44 PM,35,14.77,5.23,5.00,4.55,-,0.00
Finished,18 October 2020  2:43 PM,18 October 2020  2:46 PM,3,18.86,6.14,6.36,4.55,-,1.82
Finished,19 October 2020  10:08 AM,19 October 2020  10:25 AM,18,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:59 AM,19 October 2020  1:10 AM,11,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  10:18 AM,19 October 2020  10:42 AM,24,6.14,2.05,2.27,1.82,-,0.00
Finished,18 October 2020  4:09 PM,18 October 2020  4:22 PM,12,8.64,1.82,5.00,1.82,-,0.00
Finished,19 October 2020  12:01 AM,19 October 2020  12:12 AM,11,19.32,6.14,5.91,5.45,-,1.82
Finished,18 October 2020  3:15 PM,18 October 2020  4:00 PM,45,18.41,4.77,6.36,5.45,-,1.82
Finished,19 October 2020  8:47 AM,19 October 2020  10:13 AM,86,17.95,6.14,6.36,3.64,-,1.82
Finished,12 October 2020  4:21 PM,12 October 2020  4:47 PM,25,15.68,4.77,3.64,5.45,-,1.82
Finished,18 October 2020  11:54 PM,19 October 2020  12:08 AM,14,18.64,5.00,6.36,5.45,-,1.82
Finished,18 October 2020  4:43 PM,18 October 2020  5:50 PM,66,15.91,2.27,6.36,5.45,-,1.82
Finished,18 October 2020  11:38 PM,19 October 2020  12:08 AM,29,17.95,5.23,5.45,5.45,-,1.82
Finished,19 October 2020  8:04 AM,19 October 2020  9:00 AM,56,10.00,3.18,0.45,4.55,-,1.82
Finished,19 October 2020  9:38 AM,19 October 2020  9:42 AM,5,17.27,6.36,6.36,2.73,-,1.82
Finished,18 October 2020  11:59 PM,19 October 2020  1:07 AM,68,14.09,3.18,3.64,5.45,-,1.82
Finished,18 October 2020  11:03 AM,18 October 2020  12:14 PM,70,16.82,4.09,6.36,4.55,-,1.82
Finished,16 October 2020  4:09 AM,16 October 2020  4:31 AM,22,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  12:44 PM,18 October 2020  12:52 PM,8,19.09,6.36,6.36,4.55,-,1.82
Finished,15 October 2020  10:00 PM,15 October 2020  10:49 PM,49,13.18,5.00,6.36,0.00,-,1.82
Finished,19 October 2020  8:43 AM,19 October 2020  9:32 AM,49,18.64,5.00,6.36,5.45,-,1.82
Finished,17 October 2020  4:42 PM,17 October 2020  5:14 PM,33,18.18,6.36,6.36,3.64,-,1.82
Finished,12 October 2020  4:22 PM,12 October 2020  4:47 PM,25,18.41,4.77,6.36,5.45,-,1.82
Finished,19 October 2020  8:51 AM,19 October 2020  10:19 AM,88,18.41,4.77,6.36,5.45,-,1.82
Finished,19 October 2020  1:10 AM,19 October 2020  1:32 AM,22,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:01 PM,18 October 2020  11:30 PM,30,19.09,6.36,6.36,4.55,-,1.82
Finished,19 October 2020  8:09 AM,19 October 2020  9:22 AM,72,19.32,5.68,6.36,5.45,-,1.82
Finished,12 October 2020  12:32 PM,12 October 2020  1:18 PM,45,14.09,0.45,6.36,5.45,-,1.82
Finished,18 October 2020  11:08 PM,19 October 2020  12:01 AM,53,20.00,6.36,6.36,5.45,-,1.82
Finished,15 October 2020  4:20 PM,15 October 2020  4:48 PM,28,15.00,3.18,6.36,3.64,-,1.82
Finished,18 October 2020  9:25 PM,18 October 2020  11:25 PM,120,18.86,5.23,6.36,5.45,-,1.82
Finished,18 October 2020  2:03 PM,18 October 2020  2:53 PM,49,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:39 PM,18 October 2020  9:11 PM,32,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  9:18 AM,19 October 2020  10:29 AM,71,10.91,3.18,4.09,3.64,-,0.00
Finished,18 October 2020  8:16 PM,18 October 2020  9:44 PM,88,19.77,6.14,6.36,5.45,-,1.82
Finished,19 October 2020  12:24 AM,19 October 2020  1:21 AM,58,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:13 PM,18 October 2020  11:33 PM,21,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:06 AM,19 October 2020  12:14 AM,8,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  6:05 PM,18 October 2020  6:11 PM,6,19.09,6.36,6.36,4.55,-,1.82
Finished,12 October 2020  9:47 PM,12 October 2020  11:07 PM,79,18.41,6.14,5.91,4.55,-,1.82
Finished,18 October 2020  11:08 PM,18 October 2020  11:58 PM,50,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  4:11 AM,19 October 2020  4:55 AM,44,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  10:10 AM,17 October 2020  11:12 AM,62,14.09,5.91,2.73,5.45,-,0.00
Finished,18 October 2020  1:51 PM,18 October 2020  2:47 PM,56,17.50,3.86,6.36,5.45,-,1.82
Finished,18 October 2020  12:50 PM,18 October 2020  1:54 PM,63,13.86,4.77,2.73,4.55,-,1.82
Finished,17 October 2020  6:11 PM,17 October 2020  6:38 PM,27,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  4:06 PM,17 October 2020  4:55 PM,49,14.77,3.86,3.64,5.45,-,1.82
Finished,18 October 2020  9:36 PM,18 October 2020  11:17 PM,101,19.77,6.14,6.36,5.45,-,1.82
Finished,19 October 2020  8:54 AM,19 October 2020  9:07 AM,14,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:23 PM,18 October 2020  10:46 PM,82,17.73,4.09,6.36,5.45,-,1.82
Finished,18 October 2020  9:52 PM,18 October 2020  10:12 PM,20,19.77,6.14,6.36,5.45,-,1.82
Finished,18 October 2020  8:32 PM,18 October 2020  9:58 PM,85,18.41,4.77,6.36,5.45,-,1.82
Finished,12 October 2020  7:47 PM,12 October 2020  8:02 PM,15,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:41 PM,18 October 2020  4:21 PM,99,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:15 PM,18 October 2020  3:32 PM,76,18.64,5.00,6.36,5.45,-,1.82
Finished,19 October 2020  7:41 AM,19 October 2020  9:12 AM,90,10.91,0.91,2.73,5.45,-,1.82
Finished,18 October 2020  8:45 PM,18 October 2020  9:11 PM,27,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:28 PM,18 October 2020  8:55 PM,26,19.77,6.14,6.36,5.45,-,1.82
Finished,19 October 2020  1:06 AM,19 October 2020  2:20 AM,74,13.64,2.73,3.64,5.45,-,1.82
Finished,18 October 2020  9:22 PM,18 October 2020  11:10 PM,108,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:23 PM,19 October 2020  12:18 AM,56,17.95,5.23,5.45,5.45,-,1.82
Finished,17 October 2020  4:28 PM,17 October 2020  5:32 PM,63,18.41,4.77,6.36,5.45,-,1.82
Finished,18 October 2020  11:11 PM,19 October 2020  12:38 AM,86,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:09 PM,18 October 2020  11:57 PM,48,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:27 PM,18 October 2020  3:15 PM,48,13.18,3.18,2.73,5.45,-,1.82
Finished,19 October 2020  7:31 AM,19 October 2020  8:47 AM,76,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  12:45 PM,17 October 2020  1:02 PM,17,14.77,5.23,5.00,4.55,-,0.00
Finished,19 October 2020  9:15 AM,19 October 2020  9:59 AM,44,13.64,3.18,3.18,5.45,-,1.82
Finished,18 October 2020  11:32 PM,19 October 2020  12:36 AM,64,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:04 PM,18 October 2020  3:22 PM,78,13.86,5.68,6.36,0.00,-,1.82
Finished,16 October 2020  1:20 PM,16 October 2020  1:55 PM,36,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  3:46 PM,17 October 2020  4:06 PM,20,12.95,3.86,3.64,3.64,-,1.82
Finished,16 October 2020  7:29 PM,16 October 2020  8:15 PM,46,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:15 PM,18 October 2020  8:49 PM,35,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:28 AM,19 October 2020  12:48 AM,20,19.09,6.36,6.36,4.55,-,1.82
Finished,17 October 2020  12:19 PM,17 October 2020  12:31 PM,12,15.68,2.05,6.36,5.45,-,1.82
Finished,18 October 2020  11:01 PM,19 October 2020  12:03 AM,61,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:08 PM,18 October 2020  11:23 PM,15,18.86,5.23,6.36,5.45,-,1.82
Finished,19 October 2020  1:33 AM,19 October 2020  3:00 AM,87,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  4:02 PM,18 October 2020  5:30 PM,88,18.18,4.55,6.36,5.45,-,1.82
Finished,17 October 2020  2:51 PM,17 October 2020  3:46 PM,55,17.95,4.32,6.36,5.45,-,1.82
Finished,18 October 2020  11:17 PM,18 October 2020  11:35 PM,18,14.55,3.64,3.64,5.45,-,1.82
Finished,18 October 2020  10:40 PM,18 October 2020  10:45 PM,5,20.00,6.36,6.36,5.45,-,1.82
Finished,12 October 2020  4:21 PM,12 October 2020  4:47 PM,25,18.41,4.77,6.36,5.45,-,1.82
Finished,13 October 2020  3:56 PM,13 October 2020  4:08 PM,12,17.95,6.14,6.36,3.64,-,1.82
Finished,18 October 2020  10:35 PM,18 October 2020  11:27 PM,52,17.05,6.14,6.36,4.55,-,0.00
Finished,19 October 2020  10:20 AM,19 October 2020  10:23 AM,3,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:27 PM,18 October 2020  3:15 PM,48,13.18,3.18,2.73,5.45,-,1.82
Finished,19 October 2020  8:09 AM,19 October 2020  8:12 AM,3,14.32,5.23,3.64,3.64,-,1.82
Finished,19 October 2020  12:26 AM,19 October 2020  1:06 AM,40,14.32,2.50,4.55,5.45,-,1.82
Finished,19 October 2020  9:24 AM,19 October 2020  10:41 AM,77,2.05,0.23,-,1.82,-,0.00
Finished,17 October 2020  1:02 PM,17 October 2020  1:42 PM,40,9.32,1.14,2.73,3.64,-,1.82
Finished,19 October 2020  12:35 AM,19 October 2020  1:17 AM,41,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  3:47 PM,18 October 2020  5:05 PM,78,17.27,3.64,6.36,5.45,-,1.82
Finished,18 October 2020  10:45 PM,19 October 2020  12:12 AM,86,19.32,5.68,6.36,5.45,-,1.82
Finished,18 October 2020  10:49 PM,18 October 2020  11:33 PM,45,17.27,6.36,6.36,2.73,-,1.82
Finished,18 October 2020  9:00 PM,18 October 2020  10:15 PM,75,16.14,4.32,6.36,3.64,-,1.82
Finished,18 October 2020  11:27 PM,18 October 2020  11:49 PM,22,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:17 PM,18 October 2020  10:43 PM,85,10.68,3.86,2.27,2.73,-,1.82
Finished,19 October 2020  10:01 AM,19 October 2020  10:35 AM,34,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  7:58 AM,19 October 2020  8:21 AM,22,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  2:47 PM,18 October 2020  3:05 PM,18,17.05,5.23,6.36,5.45,-,0.00
Finished,18 October 2020  3:00 PM,18 October 2020  3:31 PM,32,19.55,5.91,6.36,5.45,-,1.82
Finished,19 October 2020  12:31 AM,19 October 2020  1:38 AM,67,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:38 PM,18 October 2020  9:33 PM,55,19.55,6.36,5.91,5.45,-,1.82
Finished,12 October 2020  9:58 PM,12 October 2020  11:10 PM,72,17.27,6.36,6.36,4.55,-,0.00
Finished,19 October 2020  6:04 AM,19 October 2020  7:19 AM,75,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:06 AM,19 October 2020  1:08 AM,62,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:59 PM,18 October 2020  9:22 PM,23,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:40 PM,18 October 2020  10:58 PM,78,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  8:42 AM,19 October 2020  10:29 AM,107,18.18,6.36,6.36,3.64,-,1.82
Finished,19 October 2020  12:36 AM,19 October 2020  2:00 AM,83,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:00 PM,18 October 2020  8:05 PM,5,18.18,6.36,6.36,3.64,-,1.82
Finished,18 October 2020  9:25 PM,18 October 2020  10:37 PM,72,15.68,2.05,6.36,5.45,-,1.82
Finished,19 October 2020  5:08 AM,19 October 2020  5:22 AM,14,19.32,5.68,6.36,5.45,-,1.82
Finished,18 October 2020  1:52 PM,18 October 2020  2:47 PM,55,17.50,3.86,6.36,5.45,-,1.82
Finished,18 October 2020  9:20 PM,18 October 2020  10:26 PM,66,18.41,4.77,6.36,5.45,-,1.82
Finished,19 October 2020  9:11 AM,19 October 2020  9:40 AM,30,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  10:59 PM,18 October 2020  11:18 PM,19,13.86,2.95,5.45,3.64,-,1.82
Finished,18 October 2020  1:53 PM,18 October 2020  3:26 PM,92,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:44 AM,19 October 2020  12:57 AM,13,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  2:08 AM,19 October 2020  3:12 AM,64,19.77,6.14,6.36,5.45,-,1.82
Finished,18 October 2020  11:56 PM,19 October 2020  12:49 AM,53,11.14,2.05,1.82,5.45,-,1.82
Finished,16 October 2020  10:40 PM,16 October 2020  11:22 PM,42,15.68,3.86,6.36,3.64,-,1.82
Finished,16 October 2020  7:57 PM,16 October 2020  8:22 PM,25,15.23,4.77,5.00,5.45,-,0.00
Finished,18 October 2020  11:57 PM,19 October 2020  12:11 AM,14,12.27,2.73,2.27,5.45,-,1.82
Finished,19 October 2020  1:41 AM,19 October 2020  2:15 AM,34,18.18,4.55,6.36,5.45,-,1.82
Finished,15 October 2020  7:16 PM,15 October 2020  7:57 PM,41,12.73,4.09,2.27,4.55,-,1.82
Finished,19 October 2020  1:56 AM,19 October 2020  2:17 AM,22,15.68,2.05,6.36,5.45,-,1.82
Finished,19 October 2020  8:54 AM,19 October 2020  8:56 AM,2,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:00 AM,19 October 2020  12:14 AM,15,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  10:17 PM,18 October 2020  10:31 PM,14,11.59,2.05,2.27,5.45,-,1.82
Finished,19 October 2020  10:00 AM,19 October 2020  10:21 AM,21,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:07 PM,18 October 2020  8:20 PM,13,19.77,6.14,6.36,5.45,-,1.82
Finished,19 October 2020  12:51 AM,19 October 2020  1:37 AM,46,15.68,2.05,6.36,5.45,-,1.82
Finished,18 October 2020  8:39 PM,18 October 2020  9:09 PM,30,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  6:15 PM,18 October 2020  7:28 PM,73,19.32,5.68,6.36,5.45,-,1.82
Finished,19 October 2020  8:30 AM,19 October 2020  9:48 AM,78,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  1:36 AM,19 October 2020  2:00 AM,24,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  8:38 AM,19 October 2020  10:07 AM,89,15.45,2.73,5.45,5.45,-,1.82
Finished,17 October 2020  5:18 PM,17 October 2020  5:54 PM,36,13.18,5.00,6.36,1.82,-,0.00
Finished,18 October 2020  4:08 PM,18 October 2020  4:31 PM,23,12.95,3.41,2.27,5.45,-,1.82
Finished,19 October 2020  12:23 AM,19 October 2020  1:03 AM,40,20.00,6.36,6.36,5.45,-,1.82
Finished,13 October 2020  3:54 PM,13 October 2020  4:06 PM,11,14.55,4.55,6.36,3.64,-,0.00
Finished,19 October 2020  9:33 AM,19 October 2020  10:35 AM,62,15.23,2.05,5.91,5.45,-,1.82
Finished,12 October 2020  9:59 PM,12 October 2020  11:31 PM,92,17.05,6.14,6.36,4.55,-,0.00
Finished,17 October 2020  9:37 PM,17 October 2020  9:47 PM,10,15.23,5.68,5.00,4.55,-,0.00
Finished,18 October 2020  11:23 PM,19 October 2020  12:11 AM,48,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:36 PM,19 October 2020  12:04 AM,29,19.32,5.68,6.36,5.45,-,1.82
Finished,18 October 2020  10:22 PM,19 October 2020  12:02 AM,100,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:53 AM,19 October 2020  2:45 AM,112,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:39 PM,18 October 2020  8:54 PM,15,17.50,3.86,6.36,5.45,-,1.82
Finished,18 October 2020  6:36 PM,18 October 2020  8:04 PM,88,18.41,4.77,6.36,5.45,-,1.82
Finished,18 October 2020  8:01 PM,18 October 2020  8:05 PM,4,19.09,6.36,6.36,4.55,-,1.82
Finished,12 October 2020  4:21 PM,12 October 2020  4:47 PM,25,18.41,4.77,6.36,5.45,-,1.82
Finished,18 October 2020  8:18 PM,18 October 2020  9:39 PM,81,18.64,5.00,6.36,5.45,-,1.82
Finished,18 October 2020  10:30 PM,18 October 2020  11:10 PM,41,6.82,3.18,3.64,-,-,-
Finished,18 October 2020  10:25 PM,18 October 2020  11:13 PM,48,18.41,4.77,6.36,5.45,-,1.82
Finished,12 October 2020  9:19 PM,12 October 2020  9:32 PM,13,18.41,4.77,6.36,5.45,-,1.82
Finished,18 October 2020  9:49 PM,18 October 2020  9:54 PM,4,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:34 PM,19 October 2020  12:29 AM,54,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:46 PM,19 October 2020  12:00 AM,14,19.09,6.36,6.36,4.55,-,1.82
Finished,19 October 2020  6:29 AM,19 October 2020  6:56 AM,27,5.91,2.27,-,3.64,-,0.00
Finished,18 October 2020  2:33 PM,18 October 2020  3:37 PM,63,16.36,4.55,5.45,4.55,-,1.82
Finished,18 October 2020  4:18 PM,18 October 2020  5:14 PM,57,14.55,2.73,6.36,5.45,-,0.00
Finished,18 October 2020  10:47 PM,18 October 2020  11:55 PM,67,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  4:42 PM,17 October 2020  5:35 PM,53,18.64,5.00,6.36,5.45,-,1.82
Finished,18 October 2020  8:52 PM,18 October 2020  10:19 PM,86,18.64,5.00,6.36,5.45,-,1.82
Finished,18 October 2020  12:54 PM,18 October 2020  1:24 PM,29,15.23,6.14,6.36,2.73,-,0.00
Finished,18 October 2020  8:15 PM,18 October 2020  8:50 PM,35,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:04 PM,18 October 2020  11:44 PM,40,20.00,6.36,6.36,5.45,-,1.82
Finished,15 October 2020  12:37 PM,15 October 2020  1:01 PM,24,18.18,6.36,6.36,5.45,-,0.00
Finished,18 October 2020  8:20 PM,18 October 2020  8:25 PM,5,19.09,6.36,6.36,4.55,-,1.82
Finished,19 October 2020  8:57 AM,19 October 2020  9:57 AM,60,18.41,4.77,6.36,5.45,-,1.82
Finished,18 October 2020  5:30 PM,18 October 2020  6:25 PM,55,12.73,3.64,2.73,4.55,-,1.82
Finished,19 October 2020  12:20 AM,19 October 2020  12:46 AM,26,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:22 PM,18 October 2020  9:38 PM,16,9.09,2.73,2.73,1.82,-,1.82
Finished,18 October 2020  7:16 PM,18 October 2020  8:02 PM,46,15.91,4.09,6.36,3.64,-,1.82
Finished,18 October 2020  8:16 PM,18 October 2020  9:44 PM,88,19.77,6.14,6.36,5.45,-,1.82
Finished,18 October 2020  11:34 PM,19 October 2020  12:51 AM,76,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  8:52 PM,18 October 2020  10:08 PM,76,17.73,4.09,6.36,5.45,-,1.82
Finished,17 October 2020  9:31 PM,17 October 2020  9:34 PM,3,18.64,5.00,6.36,5.45,-,1.82
Finished,17 October 2020  11:25 AM,17 October 2020  12:09 PM,44,18.64,5.00,6.36,5.45,-,1.82
Finished,18 October 2020  11:06 PM,18 October 2020  11:39 PM,33,13.18,1.36,4.55,5.45,-,1.82
Finished,19 October 2020  8:39 AM,19 October 2020  10:09 AM,90,15.68,3.86,4.55,5.45,-,1.82
Finished,15 October 2020  11:55 PM,16 October 2020  12:17 AM,22,14.55,2.73,4.55,5.45,-,1.82
Finished,17 October 2020  2:20 PM,17 October 2020  2:41 PM,20,10.45,2.73,2.27,3.64,-,1.82
Finished,18 October 2020  5:21 PM,18 October 2020  5:50 PM,30,20.00,6.36,6.36,5.45,-,1.82
Finished,17 October 2020  4:24 PM,17 October 2020  5:12 PM,48,18.64,5.00,6.36,5.45,-,1.82
